rune,head,Serial,familiar,body,background,prop,token_id,numTraits,image,name
,Olympian,5980,,Green Big Buckle,Black,The Midas Rod,5980,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/5980.png,Battle Mage Caligula of the Steppe
Rune of Mercury,Yellow Wizard,5981,Plague Rat,Overcoat,Blue,,5981,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/5981.png,Archmagus Alessar of the Wood
Rune of Earth,Strongman,5982,Sun Cat,Purple Harem Pants,Blue,Caduceus,5982,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/5982.png,Mystic Angus of the Palms
,Lycanthrope,5983,,Blue Big Buckle,Blue,Lunar Staff,5983,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/5983.png,Battle Mage Hagar of the Valley
Rune of Steel,Flaming Skull,5984,Fox Trickster,Swashbuckling Gear,Blue,Phoenix Feather,5984,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/5984.png,Shaman  of the Isle
Rune of Lime,Hermit,5985,Plague Rat,Yellow Cleric,Black,Siren's Bell,5985,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/5985.png,Bard Aldus of the Valley
,Prophet,5986,,Blue Coveralls,Black,Caduceus,5986,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/5986.png,Archmagus Merlon of the Wild
,Witch,5987,Onyx Wolf,Purple Cloak,Blue,Lucky Horseshoe,5987,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/5987.png,Hedge Wizard Liliana of the Reach
,Prophet,5988,,Blue Coveralls,Blue,Courage Staff,5988,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/5988.png,Sage Oberon of the Hollow
,Creol,5989,Onyx Wolf,Yellow Cleric,Blue,Thor's Wrath: the Lightning Spell,5989,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/5989.png,Voodoo Priest Jean Leon of the Mount
Rune of Omega,Gruffling,5990,Golden Toad,Red Coveralls,Red,Lunar Staff,5990,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/5990.png,Arcanist Durm of the Mountain
,Hermit,5991,Blue Rat,Red Cleric,Black,Shaman's Peyote,5991,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/5991.png,Shaman Azahl of the Mount
,Punjabi,5992,,Green Mantle Robe,Blue,Jinx Staff,5992,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/5992.png,Magus Nazim of the Veil
Rune of Saturn,Dark Sister,5993,Forever Bat,Skipper,Black,Ace in the Hole,5993,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/5993.png,Fortune Teller Sarah of Atlantis
,WereBeast,5994,,Formal Suit,Black,Emerald Staff,5994,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/5994.png,Battle Mage Magnus of the Tower
Rune of Earth,Eastern Arcanist,5995,Fox Trickster,Shoulder Cape Green,Blue,Book of Magic,5995,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/5995.png,Archmagus Aleister of the Mount
,Punjabi,5996,Sun Cat,Double Sash,Black,Astral Potion,5996,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/5996.png,Alchemist Uday of the Rock
Rune of Cinnabar,Cloud Prophet,5997,Sun Cat,Brown Coveralls,Black,The Bone Stave,5997,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/5997.png,Shadow Mage Azahl of the Hollow
,Djinn,5998,,Blue Big Buckle,Black,Mug of Ale,5998,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/5998.png,Archmagus Qasim of the Field
Rune of Saturn,Red Priestess,5999,Field Dog,Green Hip Pouch,Black,The Gnome's Tooth: the Earth Spell,5999,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/5999.png,Charmer Jadis of the Moors
Rune of Brass,Professor,6000,Crackerjack Crow,Red Cleric,Green,Goblet of Immortality,6000,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6000.png,Sorcerer Alessar of the Sacred Pillars
Rune of Mercury,Dark Sister,6001,Green Asp,White Tunic,Red,Green Mushroom,6001,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6001.png,Magus Devon of the Quantum Downs
Rune of Mercury,Professor,6002,Great Owl,Shoulder Cape Red,Green,Isaac's Apple,6002,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6002.png,Archmagus Celah of the Mist
Rune of Lime,Kabuki ,6003,Swamp Bullfrog,Green Elven Cloak,Black,Salamander's Tongue: the Fire Spell,6003,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6003.png,Chaos Mage Setsuko of the Fey
Rune of Brimstone,Diviner,6004,Forever Bat,Formal Suit,Black,Salamander's Tongue: the Fire Spell,6004,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6004.png,Archmagus Solomon of the Capital
,Hag,6005,Green Asp,Blue Big Buckle,Black,Dragon Fireworks,6005,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6005.png,Pyromancer Zolona of Arcadia
Rune of Venus,Olympian,6006,Ember Frog,Brown Coveralls,Black,Zephyr's Laugh: the Wind Spell,6006,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6006.png,Battle Mage Hagar of the Wild
,Shaolin,6007,Albino Rat,Orange Scholar,Green,Book of Magic,6007,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6007.png,Enchanter Shanyuan of the Obelisk
,Arcadian Master,6008,,Yellow Elven Cloak,Blue,Peace Staff,6008,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6008.png,Runecaster Aleister of the Carnival
,Wildman,6009,Plague Rat,Wicker Wear,Blue,Courage Staff,6009,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6009.png,Archmagus Bayard of the Steppe
,Strongman,6010,,Aristocrat Green,Black,Mug of Ale,6010,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6010.png,Enchanter Angus of the Bastion
,Prophet,6011,,Red Cleric,Black,Vile of Virgin's Blood,6011,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6011.png,Shadow Mage Zubin of Avalon
Rune of Water,Ascetic,6012,Emerald Slime,Black Wraith,Black,Grim Reaper's Breath: the Death Spell,6012,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6012.png,Necromancer Dario out of the Void
Rune of Steel,Hunter,6013,Crackerjack Crow,Vest Green,Green,The Gnome's Tooth: the Earth Spell,6013,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6013.png,Geomancer Muntjac of the Hills
Rune of Uranus,Mandinka,6014,Sapphire Slime,Green Big Buckle,Black,Lucky Horseshoe,6014,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6014.png,Artificer Thor of the Moors
,Swamp Witch,6015,Swamp Bullfrog,Green Scholar,Black,Cannabis Potion,6015,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6015.png,Witch Hestia of the Keep
,MachoMan,6016,Sapphire Slime,Orange Scholar,Black,The Orb Staff,6016,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6016.png,Adept Axel of the Sacred Pillars
,Professor,6017,,Vest Green,Black,Joy Staff,6017,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6017.png,Runecaster Solomon of the Moors
,Hermit,6018,Green Asp,Orange Caped Traveller,Blue,,6018,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6018.png,Archmagus Uvlius 
Rune of Mars,Red Priestess,6019,Great Owl,Orange Caped Traveller,Green,Salamander's Tongue: the Fire Spell,6019,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6019.png,Hex Mage Adrienne of the Wood
,Red Priestess,6020,Green Asp,Green Hip Pouch,Black,Hobgoblin's Flame: the Wayward Spell,6020,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6020.png,Cryptomancer Sonja of the River
Rune of Brass,Darkling,6021,Onyx Wolf,Blue Big Buckle,Blue,Grim Reaper's Breath: the Death Spell,6021,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6021.png,Ghost Eater Asmodeus of the River
Rune of Uranus,Man Behind the Curtain,6022,Albino Rat,Formal Suit,Green,Ruby Staff,6022,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6022.png,Enchanter Hadrien of the Citadel
Rune of Water,Witch,6023,Sapphire Slime,Blue Hip Pouch,Blue,Stellar Staff,6023,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6023.png,Adept Rowena of the Grotto
Rune of Fire,Hag,6024,Topaz Slime,Banded Overall,Green,Caduceus,6024,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6024.png,Arcanist Elizabeth of the Cosmos
Rune of Brimstone,Houngan,6025,Bliss Cat,Brown Harem Pants,Black,Aphrodite's Heart: the Love Spell,6025,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6025.png,Enchanter Giuseppe of the Sun
,Eastern Arcanist,6026,Bliss Cat,Formal Suit,Black,Soul Harvester,6026,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6026.png,Archmagus Alatar of the Court
Rune of Brimstone,Red Wizard,6027,Psychic Rabbit,Cosmic Cardigan,Red,Stellar Staff,6027,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6027.png, Eizo of the Light
Rune of Water,Botanic Master,6028,Lucky Black Cat,Purple Yoga ,Black,Nightshade Potion,6028,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6028.png,Alchemist Devon of the Steppe
Rune of Down,Coven Sister,6029,Pink Butterfly,Silver Skeleton,Black,Salamander's Tongue: the Fire Spell,6029,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6029.png,Shadow Mage Bathsheba of Death
Rune of Brimstone,Charmer,6030,Onyx Wolf,Red Hip Pouch,Black,Dragon Fireworks,6030,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6030.png, Sonja of the Mountain
Rune of Sun,Red Wizard,6031,Ember Frog,Wicker Wear,Blue,Candle of Intuition,6031,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6031.png,Arcanist  of the Wood
,Witch,6032,,Green Cloak,Blue,Bag of Tricks,6032,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6032.png,Artificer Gwendolin of the Wood
Rune of Cinnabar,Red Wizard,6033,Giant Ladybug,Red Cleric,Red,Red Mushroom,6033,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6033.png,Archmagus Basil of the Mount
,Botanic Master,6034,,Red Cleric,Blue,Candle of Intuition,6034,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6034.png,Arcanist Bathsheba of the Mount
Rune of Steel,Imp,6035,Green Asp,Yellow Elven Cloak,Black,The Bone Stave,6035,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6035.png,Wild Mage Yookoo 
Rune of Water,Silver Skeleton,6036,Swamp Bullfrog,Green Scholar,Blue,Cannabis Potion,6036,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6036.png,Alchemist Vossler of the Atheneum
,Kempo,6037,,Purple Cloak,Blue,Lunar Staff,6037,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6037.png,Mystic Mei of the Reach
Rune of Air,Professor,6038,Forever Bat,Red Cleric,Black,Isaac's Apple,6038,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6038.png,Archmagus Merlon of the Temple
Rune of Steel,Ascetic,6039,Plague Rat,Two Tone Fringe,Blue,A Big Magic Stick,6039,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6039.png,Druid Drokore of the Brambles
,Wildman,6040,Plague Rat,Blue Lined Coveralls ,Blue,A Big Magic Stick,6040,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6040.png,Battle Mage Ratko of the Plains
,Witch,6041,Topaz Slime,Orange Hip Scarf ,Blue,Garnet Staff,6041,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6041.png,Witch Shivra of the Tower
Rune of Infinity,Shaolin,6042,Golden Viper,Brown Tunic,Green,Sphinx's Hourglass,6042,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6042.png,Chronomancer Bao of the Astral Plane
Rune of Water,Medicine Man,6043,Dirt Rabbit,Orange Scholar,Blue,Garnet Staff,6043,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6043.png,Druid Khudalf of the Havens
Rune of Neptune,Bippadotta,6044,Jewled Hummingbird,Green Elven Cloak,Blue,The World Egg,6044,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6044.png,Hedge Wizard Dotta of the Carnival
Rune of Up Only,Red Wizard,6045,Green Asp,Brown Harem Pants,Red,Nightshade Potion,6045,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6045.png,Archmagus Ixar of the Dunes
Rune of Steel,Arcadian Master,6046,Golden Toad,Shoulder Cape Green,Green,Fairy Glamour: the Dazzle Spell,6046,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6046.png,Archmagus Aldus of the Sacred Pillars
Rune of Water,Rogue Arcanist,6047,Swamp Bullfrog,Aristocrat Green,Green,Passion Potion,6047,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6047.png,Ghost Eater Voidoth 
Rune of Saturn,Imp,6048,Ember Frog,Green Hip Scarf,Green,Cannabis Potion,6048,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6048.png,Alchemist Koop of the Obelisk
Rune of Uranus,Creol,6049,Great Owl,Desert Wear,Blue,Book of Magic,6049,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6049.png,Mystic Jean Leon of the Sun
,Ascetic,6050,,Vest Green,Black,Jinx Staff,6050,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6050.png,Adept Fark of the Hollow
Rune of Sun,Purple Wizard,6051,Great Owl,Red Coveralls,Black,Isaac's Apple,6051,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6051.png,Archmagus Lumos of the Hills
Rune of Neptune,Warlock,6052,Giant Ladybug,Double Sash,Black,Mug of Ale,6052,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6052.png,Clairvoyant Silas of the Palms
Rune of Saturn,Floral Master,6053,Lucky Black Cat,Green Cloak,Blue,Hobgoblin's Flame: the Wayward Spell,6053,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6053.png, Lamia of the Riviera
Rune of Cinnabar,Charmer,6054,Giant Ladybug,Blue Coveralls,Blue,Phoenix Feather,6054,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6054.png,Shaman Ariadne of the Wood
Rune of Uranus,Strongman,6055,Lucky Black Cat,Orange Scholar,Green,Shaman's Peyote,6055,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6055.png,Battle Mage Flynn of the Mount
,Yellow Wizard,6056,Albino Rat,Green Big Buckle,Blue,Fairy Glamour: the Dazzle Spell,6056,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6056.png, Iprix of the Canyon
Rune of Air,Floral Master,6057,Crackerjack Crow,Poncho,Black,Aphrodite's Heart: the Love Spell,6057,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6057.png,Illusionist Diana of the Sun
,Corvid,6058,Swamp Bullfrog,Brown Tunic,Black,Hobgoblin's Flame: the Wayward Spell,6058,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6058.png,Cosmic Mage JackDaw of the Cosmos
Rune of Water,Woodland Shapeshifter,6059,Field Dog,Green Big Buckle,Green,Garnet Staff,6059,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6059.png,Battle Mage Horace of the Hills
Rune of Air,Woodland Shapeshifter,6060,Dirt Rabbit,White Wraith,Green,The Orb Staff,6060,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6060.png,Artificer Robert of the Quantum Shadow
Rune of Cinnabar,Houngan,6061,Bliss Cat,Green Big Buckle,Green,Ace in the Hole,6061,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6061.png,Diviner Caligari of the Hills
Rune of Sigma,Faustian,6062,Psychic Rabbit,Shoulder Cape Red,Blue,Goblet of Immortality,6062,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6062.png,Artificer Udor of the Keep
Rune of Water,Durm and Strang,6063,Dirt Rabbit,Black Wraith,Blue,Bag of Tricks,6063,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6063.png,Battle Mage Brutus of the Pit
Rune of Mars,Empress,6064,Ember Frog,Green Cloak,Blue,Prometheus's Torch,6064,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6064.png,Enchanter Larissa of the Wild
Rune of Uranus,Polar Shapeshifter,6065,Field Dog,Swashbuckling Gear,Green,Crystal Ball,6065,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6065.png,Battle Mage Dutorn of the Isle
Rune of Pluto,Wooden Boy,6066,Golden Toad,Blue Elven Cloak,Black,The Bone Stave,6066,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6066.png,Shadow Mage Twinkletoes of the Garden
,Eastern Arcanist,6067,Bliss Cat,Purple Harem Pants,Green,Emerald Staff,6067,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6067.png,Shaman Ozohr of the Sun
Rune of Venus,Empress,6068,Jewled Hummingbird,Blue Hip Pouch,Green,Garnet Staff,6068,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6068.png,Enchanter Diana of the River
Rune of Sun,Charmer,6069,Red Mamba,Green Cloak,Green,Salamander's Tongue: the Fire Spell,6069,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6069.png,Pyromancer Carly of the Steppe
Rune of Mars,Faustian,6070,Crackerjack Crow,Shoulder Cape Green,Green,Zephyr's Laugh: the Wind Spell,6070,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6070.png, Isaac of the Sacred Pillars
Rune of Pluto,Koopling,6071,Topaz Slime,Aristocrat Blue,Red,Phoenix Feather,6071,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6071.png,Druid Kalo of the Court
Rune of Lime,Durm and Strang,6072,Forever Bat,Banded Overall,Blue,Nightshade Potion,6072,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6072.png,Battle Mage Danny of the Ether
,Gruffling,6073,Plague Rat,Poncho,Blue,Green Mushroom,6073,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6073.png,Battle Mage Durm of the Sands
Rune of Sun,ArtChick,6074,Lucky Black Cat,Skipper,Blue,Dryad's Ear: the Plant Spell,6074,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6074.png,Enchanter Artis of the Surf
Rune of Neptune,Faustian,6075,Albino Rat,Brown Harem Pants,Red,Fairy Glamour: the Dazzle Spell,6075,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6075.png,Illusionist  of the Desert
,Stranger,6076,Dirt Rabbit,Wicker Wear,Black,Isaac's Apple,6076,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6076.png,Sorcerer Qasim of the Mountain
Rune of Sun,Sandman,6077,Bliss Cat,Robe of Shadow,Green,Bag of Tricks,6077,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6077.png,Sorcerer Milton of the Morning Star
Rune of Brass,Rogue Arcanist,6078,Emerald Slime,Poncho,Blue,Hobgoblin's Flame: the Wayward Spell,6078,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6078.png,Cryptomancer Voidoth of the Palms
,Death Eater,6079,Red Mamba,Ice Robe,Black,Salamander's Tongue: the Fire Spell,6079,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6079.png,Necromancer Seth of the Havens
,Brown Wizard,6080,Plague Rat,Poncho,Blue,The Orb Staff,6080,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6080.png,Artificer Aleister of the Rock
Rune of Uranus,Polar Shapeshifter,6081,Fox Trickster,Green Coveralls,Green,Lucky Horseshoe,6081,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6081.png,Arch-Magician Robert of the Hills
Rune of Cinnabar,Vamp,6082,Ember Frog,Red Yoga,Red,Red Mushroom,6082,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6082.png,Magus Gorgana of the Grotto
Rune of Saturn,Purple Wizard,6083,Forever Bat,Gold Chain,Red,Crystal Ball,6083,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6083.png,Enchanter Oberon of the Bastion
,Rogue Arcanist,6084,Topaz Slime,Green Coveralls,Black,Mandrake Potion,6084,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6084.png,Alchemist Asmodeus of the Brambles
Rune of Pluto,Witch,6085,Blue Rat,Blue Hip Pouch,Black,Phosphorus Spear,6085,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6085.png,Battlemage Rita of the Wood
,Punjabi,6086,Sun Cat,Purple Harem Pants,Green,The Gnome's Tooth: the Earth Spell,6086,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6086.png,Geomancer Quddus of the Sun
